ordered_rank,solver_index,lambda
1,0,-4.6748394829375e-12
2,1,-3.603914494025386e-12
3,2,-3.492569962429971e-12
4,3,-3.273855027936717e-12
5,4,-3.097701316137416e-12
6,5,-3.028048942541371e-12
7,6,-2.942498340750876e-12
8,7,-2.875404288234934e-12
9,8,-2.784782463205998e-12
10,9,-2.758362437168552e-12
11,10,-2.638023598374513e-12
12,11,-2.60565833492944e-12
13,12,-2.575302280443303e-12
14,13,-2.48706765286733e-12
15,14,-2.411332147001646e-12
16,15,-2.349233527221646e-12
17,16,-2.294248896770857e-12
18,17,-2.158685180198186e-12
19,18,-2.119437675613255e-12
20,19,-2.078478142939608e-12
21,20,-2.027977404003586e-12
22,21,-2.017863078963312e-12
23,22,-1.979947816631115e-12
24,23,-1.955945975117812e-12
25,24,-1.843248378134263e-12
26,25,-1.795884621388251e-12
27,26,-1.79314159711507e-12
28,27,-1.729725953594505e-12
29,28,-1.690169260972826e-12
30,29,-1.654829907903053e-12
31,30,-1.625164621186764e-12
32,31,-1.576315621699103e-12
33,32,-1.55853375707375e-12
34,33,-1.503975377552813e-12
35,34,-1.450788101505485e-12
36,35,-1.423966245647483e-12
37,36,-1.407233092146392e-12
38,37,-1.395197961393342e-12
39,38,-1.342776360225042e-12
40,39,-1.312228794940755e-12
41,40,-1.271263230096127e-12
42,41,-1.259402077495793e-12
43,42,-1.192551388034971e-12
44,43,-1.167206169446395e-12
45,44,-1.126259167633119e-12
46,45,-1.106758975156912e-12
47,46,-1.042556454216302e-12
48,47,-1.016282624794734e-12
49,48,-9.922508887662873e-13
50,49,-9.768174966357295e-13
51,50,-9.550050349399983e-13
52,51,-9.292371296100855e-13
53,52,-8.92202582895617e-13
54,53,-8.8602025312873e-13
55,54,-8.4494663226406e-13
56,55,-8.188067771650369e-13
57,56,-7.619119195875069e-13
58,57,-7.551257876335219e-13
59,58,-6.97424544210923e-13
60,59,-6.874766553246425e-13
61,60,-6.790218571869248e-13
62,61,-6.52072982471638e-13
63,62,-6.395183010428194e-13
64,63,-6.339027549088725e-13
65,64,-6.102521679853467e-13
66,65,-5.73952434817328e-13
67,66,-5.454427043837397e-13
68,67,-5.437660312052733e-13
69,68,-5.156799849434052e-13
70,69,-4.89270893612947e-13
71,70,-4.751252408520001e-13
72,71,-4.672285938021381e-13
73,72,-4.397235842828406e-13
74,73,-3.97500716963892e-13
75,74,-3.795967562091081e-13
76,75,-3.431327225906596e-13
77,76,-3.131820916172503e-13
78,77,-2.962278948041681e-13
79,78,-2.621846971768795e-13
80,79,-2.471340309951579e-13
81,80,-2.328221741689758e-13
82,81,-2.110937484423746e-13
83,82,-1.810107676595637e-13
84,83,-1.451197274441958e-13
85,84,-1.301124702611328e-13
86,85,-1.026742877641277e-13
87,86,-8.95315672979476e-14
88,87,-6.703698423478938e-14
89,88,-3.833179417754448e-14
90,89,-2.634858455003615e-14
91,90,1.227391637993313e-14
92,91,2.429869844567586e-14
93,92,6.642445310442738e-14
94,93,6.966347778991976e-14
95,94,9.574619854994992e-14
96,95,1.142220186424114e-13
97,96,1.357678153090787e-13
98,97,1.726427416934955e-13
99,98,1.975953799502336e-13
100,99,2.281269406429045e-13
101,100,2.488068862537739e-13
102,101,2.699993200632506e-13
103,102,3.166909373377468e-13
104,103,3.266923278665648e-13
105,104,3.730348972987664e-13
106,105,3.969545274356907e-13
107,106,4.134725882384891e-13
108,107,4.35909938024804e-13
109,108,4.446229999237925e-13
110,109,4.586962292687791e-13
111,110,4.811188984515579e-13
112,111,5.098453603831535e-13
113,112,5.320935885415331e-13
114,113,5.673234398270545e-13
115,114,6.046139967974024e-13
116,115,6.194020799097967e-13
117,116,6.360937791212122e-13
118,117,6.621030398384489e-13
119,118,7.116375509465445e-13
120,119,7.315720003585083e-13
121,120,7.686811813947218e-13
122,121,7.808907182088612e-13
123,122,8.439614077243148e-13
124,123,8.597328507545163e-13
125,124,8.7697766347322e-13
126,125,8.828627616926328e-13
127,126,9.281079817935956e-13
128,127,9.398250504509689e-13
129,128,9.602671136622904e-13
130,129,1.001411513117333e-12
131,130,1.053857175770115e-12
132,131,1.077825871414194e-12
133,132,1.126368405553809e-12
134,133,1.135787692473319e-12
135,134,1.170873024035479e-12
136,135,1.208998182239885e-12
137,136,1.228777253590895e-12
138,137,1.243729556658686e-12
139,138,1.269105090420288e-12
140,139,1.301204485377105e-12
141,140,1.332662236957066e-12
142,141,1.382115137915697e-12
143,142,1.429521266952981e-12
144,143,1.511022641862856e-12
145,144,1.529616598514386e-12
146,145,1.553044643782126e-12
147,146,1.586044485048149e-12
148,147,1.628335308681354e-12
149,148,1.658499433881477e-12
150,149,1.740885271066931e-12
151,150,1.766314654566467e-12
152,151,1.796168616709806e-12
153,152,1.85450541814902e-12
154,153,1.964269066478958e-12
155,154,1.980384260228023e-12
156,155,2.001079612133275e-12
157,156,2.10352572374474e-12
158,157,2.122007382242068e-12
159,158,2.15360689051293e-12
160,159,2.227509561856817e-12
161,160,2.280417360791944e-12
162,161,2.418124402158916e-12
163,162,2.464497267547046e-12
164,163,2.624696484420612e-12
165,164,2.758528432596372e-12
166,165,2.882128314951167e-12
