formulation,dominant_block,component_label,family,mode_label,positive_rank,eig_index,m,n,p,ar_m,b_m,r_m,r1_m,r2_m,kc_fem,kc_ana,kc_ar_fem,kc_ar_ana,kc_r_fem,kc_r_ana,kc_r1_fem,kc_r1_ana,error_percent,rho_abs,edge_energy,scalar_energy,dominant_energy_ratio,match_space,match_method,mode_status,field_data_kind,field_status,fields_csv_file,vtk_file
E,edge,Et,TE,TE_m1_p1,1,106,1,,1,,,1,,,1.8726073098083,1.841183781340659,,,1.8726073098083,1.841183781340659,,,1.706702437100555,0.9674774994565686,66.33970310433439,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m1_p1_rank01_fields.csv,mixed_circle_E_Et_TE_m1_p1_rank01.vtk
E,edge,Et,TE,TE_m1_p1,2,107,1,,1,,,1,,,1.872607309808479,1.841183781340659,,,1.872607309808479,1.841183781340659,,,1.706702437110227,0.9674774994565684,66.33970310433476,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m1_p1_rank02_fields.csv,mixed_circle_E_Et_TE_m1_p1_rank02.vtk
E,edge,Et,TE,TE_m2_p1,3,109,2,,1,,,1,,,3.148612901258172,3.05423692822714,,,3.148612901258172,3.05423692822714,,,3.090001700876986,0.9922812940218506,44.80124694525965,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m2_p1_rank03_fields.csv,mixed_circle_E_Et_TE_m2_p1_rank03.vtk
E,edge,Et,TE,TE_m2_p1,4,110,2,,1,,,1,,,3.148612901258186,3.05423692822714,,,3.148612901258186,3.05423692822714,,,3.090001700877465,0.9922812940218513,44.80124694525963,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m2_p1_rank04_fields.csv,mixed_circle_E_Et_TE_m2_p1_rank04.vtk
E,edge,Et,TE,TE_m0_p1,5,111,0,,1,,,1,,,3.770387932593827,3.831705970207512,,,3.770387932593827,3.831705970207512,,,1.600280347460082,0.99962195540287,61.72687457228801,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m0_p1_rank05_fields.csv,mixed_circle_E_Et_TE_m0_p1_rank05.vtk
E,edge,Et,TE,TE_m3_p1,6,114,3,,1,,,1,,,4.393127929352573,4.201188941210528,,,4.393127929352573,4.201188941210528,,,4.568682599805659,0.9912694444117822,40.0930987809837,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m3_p1_rank06_fields.csv,mixed_circle_E_Et_TE_m3_p1_rank06.vtk
E,edge,Et,TE,TE_m3_p1,7,115,3,,1,,,1,,,4.393127929352735,4.201188941210528,,,4.393127929352735,4.201188941210528,,,4.568682599809507,0.9912694444117823,40.09309878098379,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m3_p1_rank07_fields.csv,mixed_circle_E_Et_TE_m3_p1_rank07.vtk
E,edge,Et,TE,TE_m1_p2,8,116,1,,2,,,1,,,5.217464164738435,5.331442773525032,,,5.217464164738435,5.331442773525032,,,2.137856742129795,0.8788643431884561,74.60612150052062,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m1_p2_rank08_fields.csv,mixed_circle_E_Et_TE_m1_p2_rank08.vtk
E,edge,Et,TE,TE_m1_p2,9,117,1,,2,,,1,,,5.217464164738495,5.331442773525032,,,5.217464164738495,5.331442773525032,,,2.137856742128678,0.8788643431884565,74.60612150052019,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m1_p2_rank09_fields.csv,mixed_circle_E_Et_TE_m1_p2_rank09.vtk
E,edge,Et,TE,TE_m4_p1,10,120,4,,1,,,1,,,5.639492438415571,5.317553126083993,,,5.639492438415571,5.317553126083993,,,6.054275428906974,0.9553569687636858,39.71370400386014,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m4_p1_rank10_fields.csv,mixed_circle_E_Et_TE_m4_p1_rank10.vtk
